Name,Food,Address,Takeout?,Delivery Link,Website,Phone
Pack Supermarket,Haitian fried chicken,"8235 NE 2nd Ave, Miami, FL 33138",,,,(305) 757-4777
Two Guys Restaurant,"Homestyle, soul food","1490 NW 3rd Ave #108, Miami, FL 33136",,,,(305) 374-1141
Vegetarian Restaurant By Hakin,Vegan Caribbean,"73 NE 167th St, North Miami Beach, FL 33162",,,,(305) 405-6346
Yarumba,Dominican,"4740 NW 167th St, Miami Gardens, FL 33014",Yes,https://bit.ly/2yVbGj1,,(305) 622-9700
Clive's Cafe,Jamaican,"5890 NW 2nd Ave, Miami, FL 33127",,,clivescafe.com,(305) 757-6512
Jamaica Kitchen,Jamaican,"8736 SW 72nd St, Miami, FL 33173",,,jamaicakitchen.com,(305) 596-2585
Sango's,Chinese-Jamaican,"9485 SW 160th St, Miami, FL 33157",,,,(305) 252-0279
Bahamian Pot,Bahamian,"6301 NW 6th Ave, Miami, FL 33142",,,,(305) 759-3408
Bon Gout BBQ,Haitian barbecue,"99 NW 54th St, Miami, FL 33127",,,bongoutbbq.com,(305) 381-5464
Hammond’s Bakery,Jamaican patties,"17847 NW 27th Ave, Miami Gardens, FL 33056",,,,(305) 624-9982
LC Roti Shop,Trinidadian,"19505 NW 2nd Ave, Miami, FL 33169",,,,(305) 651-8924
Choka's Caribbean ,Trinidadian,"710 Washington Ave #3, Miami Beach, FL 33139",,,,(305) 432-7477
Awash Ethiopian,Ethiopian,"19934 NW 2nd Ave, Miami Gardens, FL 33169",Yes,https://bit.ly/3dr1QEN,awashmiami.com,(305) 770-5100
World Famous House of Mac,Mac and cheese,"2055 NW 2nd Ave, Miami, FL 33127 (mult locations)",Yes,https://bit.ly/3cvwTh7,houseofmac.com,(786) 636-6967
Chef Creole,Caribbean,"200 NW 54th St, Miami, FL 33127 (mult locations)",Yes,,chefcreole.com,(305) 754-2223
Jackson's Soul Food,"Homestyle, soul food","950 NW 3rd Ave, Miami, FL 33136",,,,(305) 374-7661
Bobby's Meals,Ital/Vegan Caribbean,"2109 Opa-Locka Blvd, Opa-locka, FL 33054",,,,(305) 685-8818
Shuckin' & Jivin',Cajun/New Orleans,"4759 NW 167th St, Carol City, FL 33055",,,weshuckin.com,(305) 974-4751
Cote Gourmet,Elevated French,"9999 NE 2nd Ave, Miami Shores, FL 33138",,,cotegourmet.com,(305) 335-3631
Lil' Greenhouse Grill,Elevated soul food,"1300 NW 3rd Ave, Miami, FL 33136",,https://bit.ly/2XpXY0V,lilgreenhousegrill.com,(786) 277-3582
Mazie's Soul Food Takeout,Soul food,"7525 Nw 22nd Ave, Miami, FL 33147",,,,
Lorna’s Caribbean & American Grill,Caribbean/soul food,"19752 NW 27th Ave, Miami Gardens, FL 33056",Yes,https://bit.ly/2AuN29q,lornascaribbean.com,(305) 623-9760
J9 Smoothie Bar & Grill,Healthy,"801 NW 3rd Ave, Miami, FL 33136",,,,(786) 899-0615
Taste Rite Bakery,Jamaican patties,"18400 NW 2nd Ave, Miami, FL 33169",,,,(305) 249-7483
King Jerk,Barbecue/Jamaican,"13640 NW 7th Ave, Miami, FL 33168",,,,(305) 300-9682
C Bon Bakery,Haitian/bakery/sweets,"5740 NW 2nd Ave, Miami, FL 33127",,,cbonbakery.com,(305) 321-4245
Rosie's Pop Up,Elevated soul food,"439 NW 4th Avenue, Miami FL",,https://bit.ly/2MojsoQ,,
Manjay Restaurant,Elevated Caribbean,"8300 NE 2nd Ave, Miami, FL 33138",,,manjayrestaurant.com,(305) 908-3849
Jamrock Cuisine ,Chinese-Trinidadian,"12560 N Kendall Dr, Miami, FL 33186",,,,(305) 598-7625
Sunday's Eatery,Soul food,"2675 NW 207th St., Miami Gardens, FL 33056",,,trickdaddystore.com,(305) 621-9600
B&M Market,Trinidadian,"219 NE 79th St, Miami, FL 33138",,,bmmarketmiami.com,305) 757-2889
Mama Lucy's All-Pro Ribs,Barbecue,"2201 NW 119th St, Miami, FL 33167",,,,
Ice Cream Heaven,Ice cream sandwiches,"17560 NW 27th Ave #112, Miami Gardens, FL 33056",,https://bit.ly/2U3zNn8,,(305) 203-9876
Pineapple Express Bar,Roving conch salad in a pineapple,"2200 NW 95th St., Miami, FL 33147",,,,(305) 747-3234
The Rumcake Factory,Desserts - sold in Whole Foods,,,,,
Red Rooster Overtown ,"Soul food, Southern, Barbecue","920 NW 2nd Ave, Miami, FL 33136",,,,(305) 640-9880
Balloo,"Caribbean, Trinidadian, Indian-ish","19 SE 2nd Ave Suite #4, Miami, FL 33131",,https://bit.ly/3cpZ3Kz,balloorestaurant.com,(786) 534-2768
Lovely's,Seafood/soul food,"1806 NW 183rd St., Miami Gardens 33056",Yes,https://bit.ly/301kcIA,lovelysonthego.com,(305) 621-7977
iKrave,"Soul Food, Southern","4799 NW 7th Ave suite a, Miami, FL 33127",Yes,https://bit.ly/2U3975U,,(786) 747-4161
Tomorrowland,American,"1368 N Miami Ave, Miami, FL 33136",Yes,https://bit.ly/30dy6Yj,tomorrowlandmiami.com,(786) 542-9994
Crabman305,Seafood/Soul food,"2006 Opa-Locka Blvd., Opa-locka, FL 33054",Yes,,crabman305miami.com,(786) 444-3157
Groovin' Bean,Coffeeshop/cafe ,"801 NW 3rd Ave Suite #104, Miami, FL 33136",Yes,,groovinbean.com,(786) 353-2566
Jamaica House Restaurant,Jamaican,"19555 NW 2nd Ave Miami, FL 33169",Yes,https://bit.ly/3dEr4zi,,(305) 651-0083
Yardie Spice,Caribbean/vegan,"225 S Krome Ave, Homestead, FL 33030",Yes,,,(786) 349-5138
